model,threshold,precision,recall,f1,roc_auc,pr_auc,expected_cost
logreg,0.9795918367346939,0.5126050420168067,0.8133333333333334,0.6288659793814433,0.9863223523069531,0.7620128312467062,128.0
lgbm,0.4897959183673469,0.9193548387096774,0.76,0.8321167883211679,0.9869188669737134,0.8130167819839841,95.0
logreg,0.9795918367346939,0.5126050420168067,0.8133333333333334,0.6288659793814433,0.9863223523069531,0.7620128312467062,128.0
lgbm,0.24489795918367346,0.9193548387096774,0.76,0.8321167883211679,0.9860326500955127,0.8129516415380004,95.0
