model,precision,recall,f1,roc_auc,pr_auc,expected_cost
iforest,0.02567449956483899,0.7866666666666666,0.049726085124315214,0.9414421826108358,0.03379642298872073,2319.0
ocsvm,0.05899419729206963,0.8133333333333334,0.11000901713255185,0.9445974990917507,0.14914000669088698,1043.0
kmeans,0.0,0.0,0.0,,,786.0
